CellID,CellStage,class,CellProtocol
x1_S3c_b1.bcAPMF,3.0,repl,x1
x1_S3c_b1.bcGUPB,3.0,repl,x1
x1_S3c_b1.bcALUC,3.0,repl,x1
x1_S3c_b1.bcDFNU,3.0,pdx1,x1
x1_S3c_b1.bcFQIY,3.0,pdx1,x1
x1_S3c_b1.bcEUQT,3.0,pdx1,x1
x1_S3c_b1.bcGBYT,3.0,pdx1,x1
x1_S3c_b1.bcDEGF,3.0,pdx1,x1
x1_S3c_b1.bcFQKO,3.0,pdx1,x1
x1_S3c_b1.bcEOXQ,3.0,repl,x1
x1_S3c_b1.bcGSAV,3.0,pdx1,x1
x1_S3c_b1.bcABWP,3.0,repl,x1
x1_S3c_b1.bcASMY,3.0,repl,x1
x1_S3c_b1.bcGABD,3.0,repl,x1
x1_S3c_b1.bcEPOV,3.0,pdx1,x1
x1_S3c_b1.bcBQTE,3.0,repl,x1
x1_S3c_b1.bcDXTM,3.0,pdx1,x1
x1_S3c_b1.bcBHGR,3.0,pdx1,x1
x1_S3c_b1.bcAGJX,3.0,pdx1,x1
x1_S3c_b1.bcFCSQ,3.0,pdx1,x1
x1_S3c_b1.bcFGNO,3.0,pdx1,x1
x1_S3c_b1.bcCKQS,3.0,pdx1,x1
x1_S3c_b1.bcEWEQ,3.0,pdx1,x1
x1_S3c_b1.bcGFUB,3.0,repl,x1
x1_S3c_b1.bcGYKF,3.0,pdx1,x1
x1_S3c_b1.bcFZSK,3.0,repl,x1
x1_S3c_b1.bcCJGJ,3.0,pdx1,x1
x1_S3c_b1.bcHWOV,3.0,pdx1,x1
x1_S3c_b1.bcEYPC,3.0,pdx1,x1
x1_S3c_b1.bcEESM,3.0,pdx1,x1
x1_S3c_b1.bcHTPK,3.0,repl,x1
x1_S3c_b1.bcDFTK,3.0,pdx1,x1
x1_S3c_b1.bcETBN,3.0,pdx1,x1
x1_S3c_b1.bcEFVP,3.0,pdx1,x1
x1_S3c_b1.bcCEXY,3.0,pdx1,x1
x1_S3c_b1.bcGYHA,3.0,repl,x1
x1_S3c_b1.bcAHFF,3.0,pdx1,x1
x1_S3c_b1.bcAUAE,3.0,repl,x1
x1_S3c_b1.bcGXHY,3.0,pdx1,x1
x1_S3c_b1.bcDKVE,3.0,pdx1,x1
x1_S3c_b1.bcCKQP,3.0,pdx1,x1
x1_S3c_b1.bcBENP,3.0,pdx1,x1
x1_S3c_b1.bcDZCV,3.0,pdx1,x1
x1_S3c_b1.bcCGST,3.0,pdx1,x1
x1_S3c_b1.bcIIHA,3.0,repl,x1
x1_S3c_b1.bcEWDZ,3.0,pdx1,x1
x1_S3c_b1.bcHYLL,3.0,pdx1,x1
x1_S3c_b1.bcIDMJ,3.0,repl,x1
x1_S3c_b1.bcDZCO,3.0,pdx1,x1
x1_S3c_b1.bcCNCI,3.0,repl,x1
x1_S3c_b1.bcESUT,3.0,repl,x1
x1_S3c_b1.bcBMJD,3.0,pdx1,x1
x1_S3c_b1.bcIJHZ,3.0,pdx1,x1
x1_S3c_b1.bcBXJF,3.0,repl,x1
x1_S3c_b1.bcDXBH,3.0,pdx1,x1
x1_S3c_b1.bcAZOQ,3.0,pdx1,x1
x1_S3c_b1.bcFFZJ,3.0,repl,x1
x1_S3c_b1.bcCJOD,3.0,repl,x1
x1_S3c_b1.bcBURG,3.0,pdx1,x1
x1_S3c_b1.bcABDE,3.0,repl,x1
x1_S3c_b1.bcFNXG,3.0,repl,x1
x1_S3c_b1.bcGYFJ,3.0,pdx1,x1
x1_S3c_b1.bcDZGU,3.0,pdx1,x1
x1_S3c_b1.bcAAZE,3.0,pdx1,x1
x1_S3c_b1.bcIIWO,3.0,repl,x1
x1_S3c_b1.bcHKMM,3.0,repl,x1
x1_S3c_b1.bcCSDE,3.0,pdx1,x1
x1_S3c_b1.bcEEDU,3.0,repl,x1
x1_S3c_b1.bcFSWU,3.0,repl,x1
x1_S3c_b1.bcHOVS,3.0,pdx1,x1
x1_S3c_b1.bcBZBZ,3.0,pdx1,x1
x1_S3c_b1.bcHNWO,3.0,pdx1,x1
x1_S3c_b1.bcGMMV,3.0,pdx1,x1
x1_S3c_b1.bcBBTU,3.0,repl,x1
x1_S3c_b1.bcDPZC,3.0,pdx1,x1
x1_S3c_b1.bcBNPL,3.0,repl,x1
x1_S3c_b1.bcIINO,3.0,pdx1,x1
x1_S3c_b1.bcAWLQ,3.0,repl,x1
x1_S3c_b1.bcBLJA,3.0,pdx1,x1
x1_S3c_b1.bcDZGG,3.0,pdx1,x1
x1_S3c_b1.bcDULT,3.0,repl,x1
x1_S3c_b1.bcHFIK,3.0,pdx1,x1
x1_S3c_b1.bcGXFO,3.0,pdx1,x1
x1_S3c_b1.bcBXWU,3.0,pdx1,x1
x1_S3c_b1.bcAMKK,3.0,pdx1,x1
x1_S3c_b1.bcBXSL,3.0,pdx1,x1
x1_S3c_b1.bcGDLY,3.0,repl,x1
x1_S3c_b1.bcIAEB,3.0,pdx1,x1
x1_S3c_b1.bcEREU,3.0,pdx1,x1
x1_S3c_b1.bcGDWD,3.0,pdx1,x1
x1_S3c_b1.bcCUPK,3.0,pdx1,x1
x1_S3c_b1.bcBYFI,3.0,repl,x1
x1_S3c_b1.bcADWA,3.0,repl,x1
x1_S3c_b1.bcEHHG,3.0,pdx1,x1
x1_S3c_b1.bcIIIO,3.0,pdx1,x1
x1_S3c_b1.bcEOLI,3.0,pdx1,x1
x1_S3c_b1.bcAWRI,3.0,pdx1,x1
x1_S3c_b1.bcDVIN,3.0,pdx1,x1
x1_S3c_b1.bcIEXO,3.0,pdx1,x1
x1_S3c_b1.bcBCTL,3.0,pdx1,x1
x1_S3c_b1.bcICUW,3.0,pdx1,x1
x1_S3c_b1.bcFDKS,3.0,pdx1,x1
x1_S3c_b1.bcIILD,3.0,repl,x1
x1_S3c_b1.bcDSJK,3.0,repl,x1
x1_S3c_b1.bcBACS,3.0,repl,x1
x1_S3c_b1.bcGEDQ,3.0,pdx1,x1
x1_S3c_b1.bcCIBS,3.0,pdx1,x1
x1_S3c_b1.bcDPNY,3.0,pdx1,x1
x1_S3c_b1.bcCFVM,3.0,pdx1,x1
x1_S3c_b1.bcGJGW,3.0,repl,x1
x1_S3c_b1.bcDZBD,3.0,pdx1,x1
x1_S3c_b1.bcFVVZ,3.0,pdx1,x1
x1_S3c_b1.bcFJJK,3.0,pdx1,x1
x1_S3c_b1.bcHWHR,3.0,pdx1,x1
x1_S3c_b1.bcEGRG,3.0,pdx1,x1
x1_S3c_b1.bcDKRK,3.0,pdx1,x1
x1_S3c_b1.bcBFFH,3.0,pdx1,x1
x1_S3c_b1.bcBZIT,3.0,pdx1,x1
x1_S3c_b1.bcFMPU,3.0,pdx1,x1
x1_S3c_b1.bcDUIK,3.0,repl,x1
x1_S3c_b1.bcDFWD,3.0,pdx1,x1
x1_S3c_b1.bcGNVR,3.0,pdx1,x1
x1_S3c_b1.bcAZGW,3.0,pdx1,x1
x1_S3c_b1.bcBBJC,3.0,pdx1,x1
x1_S3c_b1.bcEYWA,3.0,pdx1,x1
x1_S3c_b1.bcFAPM,3.0,pdx1,x1
x1_S3c_b1.bcEWDN,3.0,pdx1,x1
x1_S3c_b1.bcGOSS,3.0,repl,x1
x1_S3c_b1.bcBCWY,3.0,pdx1,x1
x1_S3c_b1.bcHHKR,3.0,pdx1,x1
x1_S3c_b1.bcHXOX,3.0,pdx1,x1
x1_S3c_b1.bcHQVY,3.0,repl,x1
x1_S3c_b1.bcECYW,3.0,pdx1,x1
x1_S3c_b1.bcETPM,3.0,repl,x1
x1_S3c_b1.bcDRYZ,3.0,pdx1,x1
x1_S3c_b1.bcHUCI,3.0,repl,x1
x1_S3c_b1.bcHCTJ,3.0,repl,x1
x1_S3c_b1.bcCUKS,3.0,pdx1,x1
x1_S3c_b1.bcEQCA,3.0,pdx1,x1
x1_S3c_b1.bcGFFH,3.0,pdx1,x1
x1_S3c_b1.bcIJPC,3.0,repl,x1
x1_S3c_b1.bcCKSG,3.0,pdx1,x1
x1_S3c_b1.bcICVT,3.0,pdx1,x1
x1_S3c_b1.bcFTYZ,3.0,pdx1,x1
x1_S3c_b1.bcGSTO,3.0,pdx1,x1
x1_S3c_b1.bcGGNQ,3.0,repl,x1
x1_S3c_b1.bcCEYL,3.0,pdx1,x1
x1_S3c_b1.bcHOBG,3.0,pdx1,x1
x1_S3c_b1.bcFOBN,3.0,pdx1,x1
x1_S3c_b1.bcCNSU,3.0,repl,x1
x1_S3c_b1.bcCIEM,3.0,repl,x1
x1_S3c_b1.bcACPC,3.0,repl,x1
x1_S3c_b1.bcDUYN,3.0,pdx1,x1
x1_S3c_b1.bcAAWM,3.0,repl,x1
x1_S3c_b1.bcCPSJ,3.0,repl,x1
x1_S3c_b1.bcGXAL,3.0,pdx1,x1
x1_S3c_b1.bcHHCV,3.0,pdx1,x1
x1_S3c_b1.bcBEOJ,3.0,pdx1,x1
x1_S3c_b1.bcHUWC,3.0,repl,x1
x1_S3c_b1.bcGPBZ,3.0,pdx1,x1
x1_S3c_b1.bcCCYO,3.0,pdx1,x1
x1_S3c_b1.bcCAPG,3.0,pdx1,x1
x1_S3c_b1.bcCMAR,3.0,repl,x1
x1_S3c_b1.bcDTAA,3.0,pdx1,x1
x1_S3c_b1.bcHLCW,3.0,repl,x1
x1_S3c_b1.bcCCFH,3.0,pdx1,x1
x1_S3c_b1.bcGHTC,3.0,pdx1,x1
x1_S3c_b1.bcBKMX,3.0,repl,x1
x1_S3c_b1.bcDJSN,3.0,repl,x1
x1_S3c_b1.bcGDXG,3.0,repl,x1
x1_S3c_b1.bcCCZS,3.0,pdx1,x1
x1_S3c_b1.bcDONO,3.0,pdx1,x1
x1_S3c_b1.bcAMYX,3.0,pdx1,x1
x1_S3c_b1.bcEBIB,3.0,pdx1,x1
x1_S3c_b1.bcCWCC,3.0,pdx1,x1
x1_S3c_b1.bcHESQ,3.0,pdx1,x1
x1_S3c_b1.bcHUVZ,3.0,pdx1,x1
x1_S3c_b1.bcFTGJ,3.0,pdx1,x1
x1_S3c_b1.bcGDQV,3.0,pdx1,x1
x1_S3c_b1.bcCNVA,3.0,pdx1,x1
x1_S3c_b1.bcCJDT,3.0,pdx1,x1
x1_S3c_b1.bcIGDI,3.0,pdx1,x1
x1_S3c_b1.bcFRLY,3.0,pdx1,x1
x1_S3c_b1.bcDRQO,3.0,pdx1,x1
x1_S3c_b1.bcDCZF,3.0,pdx1,x1
x1_S3c_b1.bcHYRW,3.0,pdx1,x1
x1_S3c_b1.bcHFXV,3.0,repl,x1
x1_S3c_b1.bcAARR,3.0,pdx1,x1
x1_S3c_b1.bcGXTH,3.0,pdx1,x1
x1_S3c_b1.bcGZJG,3.0,pdx1,x1
x1_S3c_b1.bcGJQD,3.0,pdx1,x1
x1_S3c_b1.bcHBZQ,3.0,repl,x1
x1_S3c_b1.bcAHYX,3.0,repl,x1
x1_S3c_b1.bcDVOV,3.0,pdx1,x1
x1_S3c_b1.bcDQQP,3.0,pdx1,x1
x1_S3c_b1.bcGROM,3.0,repl,x1
x1_S3c_b1.bcCIYD,3.0,pdx1,x1
x1_S3c_b1.bcBVET,3.0,pdx1,x1
x1_S3c_b1.bcBLIZ,3.0,pdx1,x1
x1_S3c_b1.bcDFOI,3.0,pdx1,x1
x1_S3c_b1.bcDSMN,3.0,pdx1,x1
x1_S3c_b1.bcGYPN,3.0,repl,x1
x1_S3c_b1.bcCJMK,3.0,pdx1,x1
x1_S3c_b1.bcDAUP,3.0,pdx1,x1
x1_S3c_b1.bcDUDK,3.0,pdx1,x1
x1_S3c_b1.bcHNNE,3.0,pdx1,x1
x1_S3c_b1.bcAXRL,3.0,pdx1,x1
x1_S3c_b1.bcEBYR,3.0,repl,x1
x1_S3c_b1.bcAIMG,3.0,repl,x1
x1_S3c_b1.bcBSYG,3.0,pdx1,x1
x1_S3c_b1.bcFJWG,3.0,pdx1,x1
x1_S3c_b1.bcDCGA,3.0,pdx1,x1
x1_S3c_b1.bcGFJL,3.0,pdx1,x1
x1_S3c_b1.bcETAD,3.0,pdx1,x1
x1_S3c_b1.bcAPVS,3.0,pdx1,x1
x1_S3c_b1.bcEDDE,3.0,pdx1,x1
x1_S3c_b1.bcAYLH,3.0,pdx1,x1
x1_S3c_b1.bcFWAH,3.0,repl,x1
x1_S3c_b1.bcATJR,3.0,pdx1,x1
x1_S3c_b1.bcEAVP,3.0,repl,x1
x1_S3c_b1.bcEOQA,3.0,repl,x1
x1_S3c_b1.bcBWTA,3.0,pdx1,x1
x1_S3c_b1.bcEDJI,3.0,pdx1,x1
x1_S3c_b1.bcHQEF,3.0,repl,x1
x1_S3c_b1.bcEJIK,3.0,repl,x1
x1_S3c_b1.bcBIOU,3.0,pdx1,x1
x1_S3c_b1.bcBOMH,3.0,repl,x1
x1_S3c_b1.bcAACE,3.0,pdx1,x1
x1_S3c_b1.bcHCUS,3.0,repl,x1
x1_S3c_b1.bcDXGA,3.0,pdx1,x1
x1_S3c_b1.bcGBOA,3.0,pdx1,x1
x1_S3c_b1.bcHJYH,3.0,repl,x1
x1_S3c_b1.bcCTML,3.0,repl,x1
x1_S3c_b1.bcAMPM,3.0,repl,x1
x1_S3c_b1.bcHAXT,3.0,repl,x1
x1_S3c_b1.bcCJTF,3.0,repl,x1
x1_S3c_b1.bcHEBQ,3.0,pdx1,x1
x1_S3c_b1.bcDEQE,3.0,pdx1,x1
x1_S3c_b1.bcFQLE,3.0,repl,x1
x1_S3c_b1.bcIBEH,3.0,repl,x1
x1_S3c_b1.bcHZGV,3.0,pdx1,x1
x1_S3c_b1.bcCFFM,3.0,pdx1,x1
x1_S3c_b1.bcBGAI,3.0,pdx1,x1
x1_S3c_b1.bcHAMG,3.0,pdx1,x1
x1_S3c_b1.bcDXAJ,3.0,repl,x1
x1_S3c_b1.bcFTGF,3.0,repl,x1
x1_S3c_b1.bcEAWV,3.0,repl,x1
x1_S3c_b1.bcGLGJ,3.0,pdx1,x1
x1_S3c_b1.bcGJRO,3.0,repl,x1
x1_S3c_b1.bcBVQQ,3.0,pdx1,x1
x1_S3c_b1.bcIFZZ,3.0,pdx1,x1
x1_S3c_b1.bcHADX,3.0,pdx1,x1
x1_S3c_b1.bcDUSD,3.0,pdx1,x1
x1_S3c_b1.bcEGCA,3.0,pdx1,x1
x1_S3c_b1.bcGUZV,3.0,repl,x1
x1_S3c_b1.bcHHJR,3.0,pdx1,x1
x1_S3c_b1.bcCDLW,3.0,repl,x1
x1_S3c_b1.bcFJER,3.0,pdx1,x1
x1_S3c_b1.bcBEZR,3.0,pdx1,x1
x1_S3c_b1.bcFGXC,3.0,pdx1,x1
x1_S3c_b1.bcDXNR,3.0,pdx1,x1
x1_S3c_b1.bcBZZO,3.0,pdx1,x1
x1_S3c_b1.bcFTRG,3.0,pdx1,x1
x1_S3c_b1.bcDUZA,3.0,repl,x1
x1_S3c_b1.bcDFYY,3.0,repl,x1
